sido,sgg,population,lat,long,sido_sgg,sido_code,sgg_code,image_src,description,tourism_link
서울,서울,9565990,37.566535,126.9779692,서울 서울,1,-1,https://tong.visitkorea.or.kr/cms/resource/80/746580_image2_1.jpg,대한민국의 수도인 서울을 지방자치단체인 특별시로 부르는 명칭이다. 한반도 중앙에 있으며[.] 한강을 사이에 두고 남북으로 펼쳐져 있다. 북쪽 끝은 도봉구 도봉동[.] 동쪽 끝은 강동구 상일동[.] 남쪽 끝은 서초구 원지동[.] 서쪽 끝은 강서구 오곡동이다. 시청은 중구 을지로1가(태평로1가 31)에 있다.,https://www.visitseoul.net/index
부산,부산,3364358,35.17955429999999,129.07564159999998,부산 부산,6,-1,https://tong.visitkorea.or.kr/cms/resource/21/2364321_image2_1.jpg,대한민국 제2의 도시이자[.] 제1의 무역항이다. 동쪽과 남쪽은 바다에 면하고[.] 서쪽은 김해시 장유동과 창원시 진해구[.] 북쪽은 양산시 물금읍과 김해시 대동면[.] 동쪽은 울산광역시 서생면·온양읍에 접한다. 대한민국 남동단의 관문으로 서울특별시에서 남동쪽으로 약 450km[.] 대한해협을 끼고 일본 시모노세키[下關]와 약 250km 떨어져 있다. 1군 15구로 이루어져 있으며[.] 면적은 765.94㎢이다. 시청 소재지는 부산광역시 연제구 연산5동 1000번지이다.,https://www.visitbusan.net/kr/index.do
대구,대구,2397646,35.8714354,128.60144499999998,대구 대구,4,-1,https://tong.visitkorea.or.kr/cms/resource/62/219162_image2_1.jpg,북쪽으로 경상북도 칠곡군·군위군[.] 동쪽으로 경상북도 경산시·청도군[.] 남쪽으로 경상남도 창녕군[.] 서쪽으로 경상북도 고령군·성주군과 접한다. 영남지방의 중앙에서 서쪽으로 치우친 대구분지의 중앙부[.] 낙동강(洛東江)과 금호강(琴湖江)의 합류지점 동쪽 금호강 연안에 있다.,http://tour.daegu.go.kr/
인천,인천,2936367,37.4562557,126.7052062,인천 인천,2,-1,https://tong.visitkorea.or.kr/cms/resource/66/2512766_image2_1.jpg,동경 124°36′~ 126°47′[.] 북위 36°55′~ 37°58′에 있다. 동서거리 192.23km[.] 남북거리 117.60km에 달한다. 북쪽으로 개풍군·황해도 연백군[.] 동쪽으로 서울특별시·김포시·부천시·시흥시·안산시[.] 남쪽으로 충청남도 서산시에 접하고[.] 서쪽으로 서해에 면한다. 2014년 현재 가구수는 113만 6[.]280가구이며[.] 행정구역은 8구 2군 1읍 19면 129개동으로 이루어져 있다. 시청은 남동구 구월동에 있다.,http://itour.incheon.go.kr/
광주,광주,1442647,35.1595454,126.8526012,광주 광주,5,-1,https://tong.visitkorea.or.kr/cms/resource/82/2716382_image2_1.jpg,북동쪽으로 담양군[.] 북쪽으로 장성군[.] 서쪽으로 함평군[.] 남쪽으로 나주시[.] 남동쪽으로 화순군에 접한다. 서울·부산·대구·인천·대전에 이어 국내 제6위를 차지하는 대도시이며[.] 호남지방 최대의 도시이다. 2011년 현재 행정구분은 5개 자치구[.] 93개 행정동으로 이루어져 있으며[.] 시청 소재지는 광주시 서구 내방로 111이다.,http://tour.gwangju.go.kr/home/main.cs
대전,대전,1456107,36.3504119,127.3845475,대전 대전,3,-1,https://tong.visitkorea.or.kr/cms/resource/50/2661750_image2_1.jpg,동경 127°14'~127°33'[.] 북위 36°10'~36°29'에 있다. 동쪽으로 충청북도 보은군·옥천군[.] 북쪽으로 충청북도 청주시[.] 세종특별자치시[.] 남쪽으로 충청남도 금산군[.] 서쪽으로 충청남도 논산시·공주시에 접한다.,http://www.daejeon.go.kr/tou/index.do
울산,울산,1126369,35.5383773,129.3113596,울산 울산,7,-1,https://tong.visitkorea.or.kr/cms/resource/67/2558467_image2_1.jpg,동경 129˚15´~129˚27´[.] 북위 35˚27´~35˚36´에 있다. 동쪽은 동해에 면하며[.] 서쪽은 경북 청도군과 밀양시·양산시[.] 남쪽은 부산 기장군[.] 북쪽은 경북 경주시와 접한다. 한국에서 가장 대표적인 공업도시다. 행정구역은 1군 4구 4읍 8면 44개 동으로 이루어져 있다.,http://tour.ulsan.go.kr/index.ulsan
세종,세종,362995,35.152324,126.8523791,세종 세종,8,-1,https://tong.visitkorea.or.kr/cms/resource/17/1598617_image2_1.jpg,동쪽은 충청북도 청주시[.] 서쪽은 충청남도 공주시[.] 남쪽은 대전광역시[.] 북쪽은 충청남도 천안시와 경계를 이룬다. 2010년 12월 27일에 공포된 '세종시 설치 등에 관한 특별법'에 따라 종전의 충청남도 연기군 전역과 공주시(의당면·장기면·반포면)의 일부 그리고 충청북도 청원군(부용면)의 일부를 흡수하여 2012년 7월 1일에 17번째 광역자치단체로 공식 출범하였다. 정부직할 특별자치시이며[.] 시·군·구 등의 기초자치 단체를 두지 않는 '단층제' 자치단체이다.,https://www.sejong.go.kr/tour/index.do
경기도,수원,1184210,37.26357270000001,127.0286009,경기도 수원,31,13,https://tong.visitkorea.or.kr/cms/resource/36/2613036_image2_1.jpg,경기도의 도청소재지로서 동쪽은 용인시[.] 서쪽은 안산시[.] 남쪽은 화성시[.] 북쪽은 의왕시에 접한다.,https://www.suwon.go.kr/web/visitsuwon/tour01/tour01-01/pages.do
경기도,성남,931654,37.4449168,127.1388684,경기도 성남,31,12,https://tong.visitkorea.or.kr/cms/resource/05/2639005_image2_1.jpg,동쪽은 광주시[.] 서쪽은 과천시와 의왕시[.] 남쪽은 용인시[.] 북쪽은 서울특별시 강남구·송파구[.] 하남시와 접한다.,https://www.seongnam.go.kr/tour/main.do
경기도,의정부,461523,37.738098,127.03368190000002,경기도 의정부,31,25,https://tong.visitkorea.or.kr/cms/resource/21/2687521_image2_1.jpg,동경 127°00′~ 127°09′[.] 북위 37°41′~ 37°47′에 있다. 서울특별시 북쪽의 관문도시이자 경기도 북부의 교통·산업·경제·문화·교육의 중심도시이다.,https://www.ui4u.go.kr/tour/main.do
경기도,안양,549903,37.3942527,126.9568209,경기도 안양,31,17,https://tong.visitkorea.or.kr/cms/resource/75/755275_image2_1.jpg,동쪽은 과천시·의왕시[.] 서쪽은 광명시·시흥시[.] 남쪽은 군포시[.] 북쪽은 서울특별시 금천구·관악구에 접한다.,https://www.anyang.go.kr/tour/index.do
경기도,부천,810742,37.5034138,126.76603090000002,경기도 부천,31,11,https://tong.visitkorea.or.kr/cms/resource/39/760139_image2_1.jpg,서울특별시의 위성도시로서 동쪽과 북쪽으로 서울특별시[.] 서쪽으로 인천광역시[.] 남쪽으로 시흥시와 접한다. 원미구·소사구·오정구의 3개구로 이루어져 있었으나[.] 2016년 7월 4일 행정체제를 개편하면서 3개 구청을 폐지하고 기존의 36개 동을 유지하면서 권역별로 중심이 되는 원미1동[.] 심곡2동 등 10개의 동을 행정복지센터로 전환하였다.,http://www.bucheon.go.kr/site/main/index148
경기도,광명,295852,37.4784878,126.8642888,경기도 광명,31,4,https://tong.visitkorea.or.kr/cms/resource/70/734370_image2_1.jpg,북쪽으로는 서울특별시 구로구 개봉동(開峰洞)[.] 북동쪽으로 구로구 가리봉동(加里峰洞)[.] 금천구 시흥동(始興洞)[.] 북서쪽으로는 경기도 부천시[.] 남쪽과 서쪽으로 안양시와 접한다.,http://www.gm.go.kr/tr/index.do
경기도,평택,549901,36.9921075,127.1129451,경기도 평택,31,28,https://tong.visitkorea.or.kr/cms/resource/94/2482994_image2_1.jpg,북쪽은 화성시[.] 동쪽은 용인시·안성시[.] 남쪽은 충청남도 아산시·천안시와 각각 접한다. 남서쪽은 아산만(牙山灣)에 면한다.,https://www.pyeongtaek.go.kr/tour/main.do
경기도,동두천,93354,37.9034112,127.0605075,경기도 동두천,31,10,https://tong.visitkorea.or.kr/cms/resource/22/1195422_image2_1.jpg,북동쪽으로 포천시[.] 서쪽과 남쪽으로 양주시[.] 북서쪽은 연천군에 접한다. 수도권 40km 이내의 위성도시로 군사보호구역에 속하며[.] 6·25전쟁 이후 급격히 발전한 기지촌(基地村)이다. 현재 8동으로 이루어져 있으며[.] 시청 소재지는 동두천시 생연동 438번지이다.,https://www.ddc.go.kr/tour/index.do
경기도,안산,655115,37.3218778,126.8308848,경기도 안산,31,15,https://tong.visitkorea.or.kr/cms/resource/32/2656732_image2_1.jpg,동쪽은 군포시와 의왕시[.] 서쪽은 황해[.] 남쪽은 화성시[.] 북쪽은 시흥시에 접해 있다. 서울의 인구 및 산업 분산시책의 일환으로 도시 전체가 완전히 계획적이고 인공적으로 개발된 전원주택도시이다.,https://tourinfo.ansan.go.kr/main.do
경기도,고양,1080507,37.6583599,126.8320201,경기도 고양,31,2,https://tong.visitkorea.or.kr/cms/resource/36/2364836_image2_1.jpg,남동쪽으로 서울특별시에 접하고 북동쪽으로 양주시[.] 북서쪽으로 파주시[.] 남서쪽으로 한강을 사이에 두고 김포시에 접한다.,http://www.goyang.go.kr/visitgoyang/
경기도,과천,69276,37.429246,126.9874451,경기도 과천,31,3,https://tong.visitkorea.or.kr/cms/resource/93/2678593_image2_1.jpg,북쪽으로 서울특별시[.] 서쪽으로 경기도 안양시[.] 동쪽으로 성남시[.] 남쪽으로 의왕시에 접한다. 기반암은 대부분이 호상편마암으로 이루어져 있으나[.] 양재천(良才川) 연안에는 충적지가 널리 발달하였다. 주요산으로는 관악산(冠岳山:629m)·응봉(鷹峰:348m)·청계산(淸溪山:618m) 등이 솟아 있다. 서울특별시와는 남태령을 통해 연결된다. 4개 대도시와 접하고 있는 한국의 대표적인 전원도시이다.,http://www.gccity.go.kr/tour/main.do
