sido,sgg,sido_code,sgg_code
충청북도,괴산,33,1
충청북도,단양,33,2
충청북도,보은,33,3
충청북도,영동,33,4
충청북도,옥천,33,5
충청북도,음성,33,6
충청북도,제천,33,7
충청북도,진천,33,8
충청북도,청원,33,9
충청북도,청주,33,10
충청북도,충주,33,11
충청북도,증평,33,12
대구,대구,4,-1
전라남도,강진,38,1
전라남도,고흥,38,2
전라남도,곡성,38,3
전라남도,광양,38,4
전라남도,구례,38,5
전라남도,나주,38,6
전라남도,담양,38,7
전라남도,목포,38,8
전라남도,무안,38,9
전라남도,보성,38,10
전라남도,순천,38,11
전라남도,신안,38,12
전라남도,여수,38,13
전라남도,영광,38,16
전라남도,영암,38,17
전라남도,완도,38,18
전라남도,장성,38,19
전라남도,장흥,38,20
전라남도,진도,38,21
전라남도,함평,38,22
전라남도,해남,38,23
전라남도,화순,38,24
경상북도,경산,35,1
경상북도,경주,35,2
경상북도,고령,35,3
경상북도,구미,35,4
경상북도,군위,35,5
경상북도,김천,35,6
경상북도,문경,35,7
경상북도,봉화,35,8
경상북도,상주,35,9
경상북도,성주,35,10
경상북도,안동,35,11
경상북도,영덕,35,12
경상북도,영양,35,13
경상북도,영주,35,14
경상북도,영천,35,15
경상북도,예천,35,16
경상북도,울릉,35,17
경상북도,울진,35,18
경상북도,의성,35,19
경상북도,청도,35,20
경상북도,청송,35,21
경상북도,칠곡,35,22
경상북도,포항,35,23
울산,울산,7,-1
강원도,강릉,32,1
강원도,고성,32,2
강원도,동해,32,3
강원도,삼척,32,4
강원도,속초,32,5
강원도,양구,32,6
강원도,양양,32,7
강원도,영월,32,8
강원도,원주,32,9
강원도,인제,32,10
강원도,정선,32,11
강원도,철원,32,12
강원도,춘천,32,13
강원도,태백,32,14
강원도,평창,32,15
강원도,홍천,32,16
강원도,화천,32,17
강원도,횡성,32,18
부산,부산,6,-1
제주도,남제주,39,1
제주도,북제주,39,2
제주도,서귀포,39,3
제주도,제주,39,4
광주,광주,5,-1
서울,서울,1,-1
세종,세종,8,-1
경기도,가평,31,1
경기도,고양,31,2
경기도,과천,31,3
경기도,광명,31,4
경기도,광주,31,5
경기도,구리,31,6
경기도,군포,31,7
경기도,김포,31,8
경기도,남양주,31,9
경기도,동두천,31,10
경기도,부천,31,11
경기도,성남,31,12
경기도,수원,31,13
경기도,시흥,31,14
경기도,안산,31,15
경기도,안성,31,16
경기도,안양,31,17
경기도,양주,31,18
경기도,양평,31,19
경기도,여주,31,20
경기도,연천,31,21
경기도,오산,31,22
경기도,용인,31,23
경기도,의왕,31,24
경기도,의정부,31,25
경기도,이천,31,26
경기도,파주,31,27
경기도,평택,31,28
경기도,포천,31,29
경기도,하남,31,30
경기도,화성,31,31
대전,대전,3,-1
충청남도,공주,34,1
충청남도,금산,34,2
충청남도,논산,34,3
충청남도,당진,34,4
충청남도,보령,34,5
충청남도,부여,34,6
충청남도,서산,34,7
충청남도,서천,34,8
충청남도,아산,34,9
충청남도,예산,34,11
충청남도,천안,34,12
충청남도,청양,34,13
충청남도,태안,34,14
충청남도,홍성,34,15
충청남도,계룡,34,16
전라북도,고창,37,1
전라북도,군산,37,2
전라북도,김제,37,3
전라북도,남원,37,4
전라북도,무주,37,5
전라북도,부안,37,6
전라북도,순창,37,7
전라북도,완주,37,8
전라북도,익산,37,9
전라북도,임실,37,10
전라북도,장수,37,11
전라북도,전주,37,12
전라북도,정읍,37,13
전라북도,진안,37,14
경상남도,거제,36,1
경상남도,거창,36,2
경상남도,고성,36,3
경상남도,김해,36,4
경상남도,남해,36,5
경상남도,마산,36,6
경상남도,밀양,36,7
경상남도,사천,36,8
경상남도,산청,36,9
경상남도,양산,36,10
경상남도,의령,36,12
경상남도,진주,36,13
경상남도,진해,36,14
경상남도,창녕,36,15
경상남도,창원,36,16
경상남도,통영,36,17
경상남도,하동,36,18
경상남도,함안,36,19
경상남도,함양,36,20
경상남도,합천,36,21
인천,인천,2,-1
