id,name,sido,sgg,sido_sgg
NAEK020,센트럴시티(서울),서울,서울,서울 서울
NAEK030,동서울,서울,서울,서울 서울
NAEK032,동서울,서울,서울,서울 서울
NAEK040,상봉,서울,서울,서울 서울
NAEK100,인천,인천,인천,인천 인천
NAEK101,부천,경기도,부천,경기도 부천
NAEK105,인천공항T1,인천,인천,인천 인천
NAEK109,서수원,경기도,수원,경기도 수원
NAEK110,수원,경기도,수원,경기도 수원
NAEK111,용인신갈,경기도,용인,경기도 용인
NAEK112,영통,경기도,수원,경기도 수원
NAEK115,고양화정,경기도,고양,경기도 고양
NAEK120,성남(분당),경기도,성남,경기도 성남
NAEK127,오산,경기도,오산,경기도 오산
NAEK130,안성,경기도,안성,경기도 안성
NAEK133,안성공도,경기도,안성,경기도 안성
NAEK140,여주,경기도,여주,경기도 여주
NAEK146,포천,경기도,포천,경기도 포천
NAEK148,철원,강원도,철원,강원도 철원
NAEK149,용인유림,경기도,용인,경기도 용인
NAEK150,용인,경기도,용인,경기도 용인
NAEK160,이천,경기도,이천,경기도 이천
NAEK169,구리,서울,서울,서울 서울
NAEK170,의정부,경기도,의정부,경기도 의정부
NAEK173,의정부,경기도,의정부,경기도 의정부
NAEK180,평택,경기도,평택,경기도 평택
NAEK190,안산,경기도,안산,경기도 안산
NAEK195,시흥(시화),경기도,시흥,경기도 시흥
NAEK200,강릉,강원도,강릉,강원도 강릉
NAEK210,동해,강원도,동해,강원도 동해
NAEK220,삼척,강원도,삼척,강원도 삼척
NAEK230,속초,강원도,속초,강원도 속초
NAEK240,원주,강원도,원주,강원도 원주
NAEK250,춘천,강원도,춘천,강원도 춘천
NAEK270,양양,강원도,양양,강원도 양양
NAEK272,영월,강원도,영월,강원도 영월
NAEK300,대전복합,대전,대전,대전 대전
NAEK305,대전청사,대전,대전,대전 대전
NAEK307,대전도룡,대전,대전,대전 대전
NAEK310,천안,충청남도,천안,충청남도 천안
NAEK312,당진,충청남도,당진,충청남도 당진
NAEK320,공주,충청남도,공주,충청남도 공주
NAEK330,금산,충청남도,금산,충청남도 금산
NAEK340,아산온양,충청남도,아산,충청남도 아산
NAEK342,아산탕정,충청남도,아산,충청남도 아산
NAEK350,조치원,세종,세종,세종 세종
NAEK352,세종시,세종,세종,세종 세종
NAEK353,세종청사,세종,세종,세종 세종
NAEK354,홍대조치원,세종,세종,세종 세종
NAEK355,고대조치원,세종,세종,세종 세종
NAEK360,유성,대전,대전,대전 대전
NAEK362,세종시청,세종,세종,세종 세종
NAEK370,논산,충청남도,논산,충청남도 논산
NAEK380,연무대,충청남도,논산,충청남도 논산
NAEK389,홍성,충청남도,홍성,충청남도 홍성
NAEK390,내포,충청남도,예산,충청남도 예산
NAEK391,청양,충청남도,청양,충청남도 청양
NAEK393,서산,충청남도,서산,충청남도 서산
NAEK394,태안,충청남도,태안,충청남도 태안
