,terminal_id,terminal_name,sido,orig_sido,sgg
0,NAEK020,센트럴시티(서울),서울,서울,서초구
1,NAEK030,동서울,서울,서울,광진구
2,NAEK032,동서울,서울,서울,광진구
3,NAEK040,상봉,서울,서울,중랑구
4,NAEK100,인천,인천,인천,미추홀구
5,NAEK101,부천,경기도,부천,상동
6,NAEK105,인천공항T1,인천,인천,중구
7,NAEK109,서수원,경기도,수원,권선구
8,NAEK110,수원,경기도,수원,권선구
9,NAEK111,용인신갈,경기도,용인,기흥구
10,NAEK112,영통,경기도,수원,영통구
11,NAEK115,고양화정,경기도,고양,덕양구
12,NAEK120,성남(분당),경기도,성남,분당구
13,NAEK127,오산,경기도,오산,오산동
14,NAEK130,안성,경기도,안성,가사동
15,NAEK133,안성공도,경기도,안성,공도읍
16,NAEK140,여주,경기도,여주,가남읍
17,NAEK146,포천,경기도,포천,신읍동
18,NAEK148,철원,강원도,철원,갈말읍
19,NAEK149,용인유림,경기도,용인,처인구
20,NAEK150,용인,경기도,용인,처인구
21,NAEK160,이천,경기도,이천,중리동
22,NAEK169,구리,서울,서울,중랑구
23,NAEK170,의정부,경기도,의정부,금오동
24,NAEK173,의정부,경기도,의정부,금오동
25,NAEK180,평택,경기도,평택,평택동
26,NAEK190,안산,경기도,안산,상록구
27,NAEK195,시흥(시화),경기도,시흥,정왕동
28,NAEK200,강릉,강원도,강릉,홍제동
29,NAEK210,동해,강원도,동해,평릉동
30,NAEK220,삼척,강원도,삼척,남양동
31,NAEK230,속초,강원도,속초,동명동
32,NAEK240,원주,강원도,원주,단계동
33,NAEK250,춘천,강원도,춘천,온의동
34,NAEK270,양양,강원도,양양,양양읍
35,NAEK272,영월,강원도,영월,영월읍
36,NAEK300,대전복합,대전,대전,동구
37,NAEK305,대전청사,대전,대전,서구
38,NAEK307,대전도룡,대전,대전,서구
39,NAEK310,천안,충청남도,천안,동남구
40,NAEK312,당진,충청남도,당진,수청동
41,NAEK320,공주,충청남도,공주,신관동
42,NAEK330,금산,충청남도,금산,금산읍
43,NAEK340,아산온양,충청남도,아산,모종동
44,NAEK342,아산탕정,충청남도,아산,배방읍
45,NAEK350,조치원,세종특별자치시,세종,조치원읍
