sido,sgg,total_population,male_population,female_population
서울특별시,서울특별시,9565990,4649442,4916548
서울특별시,종로구,146029,70985,75044
서울특별시,중구,123016,60019,62997
서울특별시,용산구,226378,108948,117430
서울특별시,성동구,289162,141042,148120
서울특별시,광진구,342481,165233,177248
서울특별시,동대문구,338040,167335,170705
서울특별시,중랑구,389972,192688,197284
서울특별시,성북구,433658,209210,224448
서울특별시,강북구,302645,147542,155103
서울특별시,도봉구,320365,156080,164285
서울특별시,노원구,515997,248719,267278
서울특별시,은평구,475371,227584,247787
서울특별시,서대문구,307070,146844,160226
서울특별시,마포구,370132,174200,195932
서울특별시,양천구,450992,221140,229852
서울특별시,강서구,577519,278360,299159
서울특별시,구로구,399266,197034,202232
서울특별시,금천구,230168,116491,113677
서울특별시,영등포구,377421,186482,190939
서울특별시,동작구,387847,187617,200230
서울특별시,관악구,488800,245404,243396
서울특별시,서초구,418407,200163,218244
서울특별시,강남구,531375,254139,277236
서울특별시,송파구,658670,317531,341139
서울특별시,강동구,465209,228652,236557
부산광역시,부산광역시,3364358,1647291,1717067
부산광역시,중구,40561,19799,20762
부산광역시,서구,106422,51510,54912
부산광역시,동구,87916,43012,44904
부산광역시,영도구,111685,55061,56624
부산광역시,부산진구,356091,171921,184170
부산광역시,동래구,268391,130542,137849
부산광역시,남구,264098,129199,134899
부산광역시,북구,283612,140238,143374
부산광역시,해운대구,399015,191985,207030
부산광역시,사하구,307559,153124,154435
부산광역시,금정구,229222,112056,117166
부산광역시,강서구,140720,72824,67896
부산광역시,연제구,206239,99280,106959
부산광역시,수영구,175877,83071,92806
부산광역시,사상구,210333,106185,104148
부산광역시,기장군,176617,87484,89133
대구광역시,대구광역시,2397646,1182380,1215266
대구광역시,중구,74727,35922,38805
대구광역시,동구,340693,167668,173025
대구광역시,서구,167773,83975,83798
대구광역시,남구,145105,69755,75350
대구광역시,북구,437333,217669,219664
대구광역시,수성구,419979,203195,216784
대구광역시,달서구,551490,271953,279537
대구광역시,달성군,260546,132243,128303
인천광역시,인천광역시,2936367,1470544,1465823
인천광역시,중구,140175,72886,67289
인천광역시,동구,61436,31040,30396
인천광역시,미추홀구,404618,203742,200876
인천광역시,연수구,390827,194215,196612
인천광역시,남동구,521340,258876,262464
인천광역시,부평구,490609,242460,248149
인천광역시,계양구,296442,147719,148723
인천광역시,서구,541304,273411,267893
인천광역시,강화군,69285,34644,34641
인천광역시,옹진군,20331,11551,8780
광주광역시,광주광역시,1442647,713793,728854
광주광역시,동구,103146,50926,52220
광주광역시,서구,293088,143635,149453
광주광역시,남구,213910,102885,111025
광주광역시,북구,427858,212433,215425
광주광역시,광산구,404645,203914,200731
대전광역시,대전광역시,1456107,726666,729441
대전광역시,동구,223245,112571,110674
대전광역시,중구,232841,114783,118058
대전광역시,서구,474934,233513,241421
대전광역시,유성구,349927,176644,173283
대전광역시,대덕구,175160,89155,86005
울산광역시,울산광역시,1126369,578924,547445
울산광역시,중구,214779,108776,106003
울산광역시,남구,316716,161614,155102
울산광역시,동구,155129,81003,74126
울산광역시,북구,218131,113009,105122
울산광역시,울주군,221614,114522,107092
세종특별자치시,세종시,362995,181328,181667
경기도,경기도,13500688,6795088,6705600
경기도,수원시,1184210,596269,587941
경기도,성남시,931654,461565,470089
경기도,의정부시,461523,227380,234143
경기도,안양시,549903,271857,278046
경기도,부천시,810742,402000,408742
경기도,광명시,295852,145948,149904
경기도,평택시,549901,285580,264321
경기도,동두천시,93354,46626,46728
경기도,안산시,655115,336051,319064
경기도,고양시,1080507,528924,551583
경기도,과천시,69276,34036,35240
경기도,구리시,194389,96457,97932
경기도,남양주시,724183,360473,363710
경기도,오산시,230705,119561,111144
경기도,시흥시,511314,267078,244236
경기도,군포시,270584,134167,136417
