,terminalId,terminalNm,city
0,NAI0392201,스탠포드호텔,서울특별시
1,NAI0392601,상암DMC홍보관,서울특별시
2,NAI0392602,상암동입구,서울특별시
3,NAI0393701,마포구청역,서울특별시
4,NAI0394601,연희삼거리,서울특별시
5,NAI0394602,성산회관,서울특별시
6,NAI0403701,합정역,서울특별시
7,NAI0403801,메리골드호텔,서울특별시
8,NAI0405001,홍대입구역,서울특별시
9,NAI0405801,신촌역,서울특별시
10,NAI0411501,웨딩타운,서울특별시
11,NAI0411601,아현역,서울특별시
12,NAI0413001,마포경찰서,서울특별시
13,NAI0414201,아현동주민센터,서울특별시
14,NAI0416802,베스트웨스턴서울,서울특별시
15,NAI0420201,아현초(애오개역),서울특별시
16,NAI0421301,공덕역,서울특별시
17,NAI0432001,서울역,서울특별시
18,NAI0432002,숙대입구역,서울특별시
19,NAI0432301,포포인츠쉐라톤,서울특별시
20,NAI0432302,서울역버스환승센터,서울특별시
21,NAI0434101,그랜드하얏트서울,서울특별시
22,NAI0434701,한강진역,서울특별시
23,NAI0434901,IP부띠끄호텔,서울특별시
24,NAI0435001,해밀턴호텔,서울특별시
25,NAI0436301,원효로3가,서울특별시
26,NAI0437201,전자랜드,서울특별시
27,NAI0437202,서울드래곤시티용산,서울특별시
28,NAI0437301,한강대교북단,서울특별시
29,NAI0437302,용산전자상가,서울특별시
30,NAI0437303,원효대교북단,서울특별시
31,NAI0437501,삼각지역,서울특별시
32,NAI0437701,용산역,서울특별시
33,NAI0438401,한강중학교,서울특별시
34,NAI0438601,신용산역,서울특별시
35,NAI0438801,용산세무서,서울특별시
36,NAI0439001,크라운호텔,서울특별시
37,NAI0439301,동빙고동,서울특별시
38,NAI0440101,한남동,서울특별시
39,NAI0440701,보광동,서울특별시
40,NAI0441001,한남역,서울특별시
41,NAI0441901,한남더힐아파트,서울특별시
42,NAI0442201,동부이촌동,서울특별시
43,NAI0442202,이촌역,서울특별시
44,NAI0442301,이촌현대아파트,서울특별시
45,NAI0442401,강촌아파트,서울특별시
46,NAI0450501,브라운스위츠,서울특별시
47,NAI0451701,프레이저플레이스(서소문),서울특별시
48,NAI0452401,시청,서울특별시
49,NAI0452601,프레이저플레이스(남대문),서울특별시
50,NAI0452801,남대문시장회현,서울특별시
51,NAI0453402,이비스명동호텔,서울특별시
52,NAI0453801,로얄호텔,서울특별시
53,NAI0454202,을지로2가,서울특별시
54,NAI0454802,국도호텔,서울특별시
55,NAI0455401,티마크호텔,서울특별시
56,NAI0455501,을지로,서울특별시
57,NAI0455701,충무로역,서울특별시
58,NAI0455801,호텔비즈,서울특별시
59,NAI0455901,퇴계로6가스카이파크,서울특별시
60,NAI0456101,베이튼호텔,서울특별시
61,NAI0456102,아카시아호텔,서울특별시
62,NAI0456103,을지로코업,서울특별시
63,NAI0456502,토요코인호텔동대문,서울특별시
64,NAI0456601,동대문역사문화공원역,서울특별시
65,NAI0462601,한옥마을,서울특별시
66,NAI0462901,명동역,서울특별시
67,NAI0463701,읍내,서울특별시
68,NAI0471601,무학여고,서울특별시
69,NAI0471801,금호삼성래미안,서울특별시
70,NAI0472301,금호사거리,서울특별시
71,NAI0472501,금옥초등학교,서울특별시
72,NAI0473401,옥정중학교,서울특별시
73,NAI0473402,옥수삼성아파트,서울특별시
74,NAI0474101,응봉주민센터,서울특별시
75,NAI0474201,응봉현대아파트,서울특별시
76,NAI0474202,응봉삼거리,서울특별시
77,NAI0475101,왕십리역,서울특별시
78,NAI0477401,경일초등학교,서울특별시
79,NAI0477501,성수동이마트,서울특별시
80,NAI0479801,영동대교북단,서울특별시
81,NAI0498701,아차산역,서울특별시
82,NAI0499101,대공원 후문,서울특별시
83,NAI0500401,군자역,서울특별시
84,NAI0500402,군자교입구,서울특별시
85,NAI0500601,세종대학교,서울특별시
86,NAI0184901,태릉입구역,서울특별시
87,NAI0187801,인덕대입구,서울특별시
88,NAI0188301,롯데캐슬루나아파트,서울특별시
89,NAI0188302,월계동대우아파트,서울특별시
90,NAI0200601,먹골역,서울특별시
91,NAI0201701,중화역,서울특별시
92,NAI0208601,망우역,서울특별시
93,NAI0215101,상봉,서울특별시
94,NAI0223601,면목동(홈플러스),서울특별시
95,NAI0255901,청량리역,서울특별시
96,NAI0256801,제기동역,서울특별시
97,NAI0258201,신설동역,서울특별시
98,NAI0258301,용두동사거리,서울특별시
99,NAI0262501,장안사거리,서울특별시
100,NAI0262502,장안삼거리,서울특별시
101,NAI0263301,장한평역,서울특별시
102,NAI0263901,경남관광호텔,서울특별시
103,NAI0271901,정릉(국민대학교),서울특별시
