,station_id,station_name,sido,sgg
0,NAT010000,서울,서울,서울
1,NAT010032,용산,서울,서울
2,NAT010058,노량진,서울,서울
3,NAT010091,영등포,서울,서울
4,NAT010106,신도림,서울,서울
5,NAT020040,상봉,서울,서울
6,NAT130036,서빙고,서울,서울
7,NAT130070,옥수,서울,서울
8,NAT130104,왕십리,서울,서울
9,NAT130126,청량리,서울,서울
10,NAT130182,광운대,서울,서울
11,NATH30000,수서,서울,서울
12,NAT011403,부강,세종,세종
13,NAT011079,소정리,세종,세종
14,NAT011154,전의,세종,세종
15,NAT011298,조치원,세종,세종
16,NAT014244,화명,부산,부산
17,NAT014281,구포,부산,부산
18,NAT014331,사상,부산,부산
19,NAT014445,부산,부산,부산
20,NAT750046,부전,부산,부산
21,NAT750106,동래,부산,부산
22,NAT750161,센텀,부산,부산
23,NAT750189,신해운대,부산,부산
24,NAT750254,송정,부산,부산
25,NAT750329,기장,부산,부산
26,NAT750412,좌천,부산,부산
27,NAT013239,대구,대구,대구
28,NAT013271,동대구,대구,대구
29,NATC30058,인천공항T2,인천,인천
30,NAT060231,주안,인천,인천
31,NATC10325,검암,인천,인천
32,NATC10580,인천공항T1,인천,인천
33,NAT031857,광주송정,광주,광주
34,NAT882904,효천,광주,광주
35,NAT882936,서광주,광주,광주
36,NAT883012,광주,광주,광주
37,NAT883086,극락강,광주,광주
38,NAT011668,대전,대전,대전
39,NAT030057,서대전,대전,대전
40,NAT030173,흑석리,대전,대전
41,NAT011524,신탄진,대전,대전
42,NATH13717,울산(통도사),울산,울산
43,NAT750560,남창,울산,울산
44,NAT750653,덕하,울산,울산
45,NAT750726,태화강,울산,울산
46,NAT750760,효문,울산,울산
47,NAT750822,호계,울산,울산
48,NAT010239,안양,경기도,안양
49,NAT010415,수원,경기도,수원시
50,NAT010570,오산,경기도,오산시
51,NAT010670,서정리,경기도,평택시
52,NAT010754,평택,경기도,평택시
53,NAT020178,덕소,경기도,남양주시
54,NAT020471,아신,경기도,양평
55,NAT020524,양평,경기도,양평군
56,NAT020641,용문,경기도,양평군
57,NAT020677,지평,경기도,양평군
58,NAT020717,석불,경기도,양평군
59,NAT020760,일신,경기도,고양
60,NAT020803,매곡,경기도,양평군
61,NAT020845,양동,경기도,양평군
62,NAT020884,삼산,경기도,양평
63,NAT060121,부천,경기도,부천
64,NAT110147,행신,경기도,고양시
65,NAT110165,능곡,경기도,고양
66,NAT110249,일산,경기도,고양
67,NAT110265,탄현,경기도,고양
68,NAT110407,파주,경기도,파주
69,NAT110460,문산,경기도,파주시
70,NAT110497,운천,경기도,파주시
71,NAT110520,임진강,경기도,파주시
72,NAT110557,도라산,경기도,파주시
73,NAT130312,의정부,경기도,의정부
74,NAT130531,동두천,경기도,동두천시
75,NAT130556,소요산,경기도,동두천시
76,NAT130597,초성리,경기도,연천군
77,NAT130627,한탄강,경기도,연천군
78,NAT130652,전곡,경기도,연천군
79,NAT130738,연천,경기도,연천군
80,NAT130774,신망리,경기도,연천군
81,NAT130844,대광리,경기도,연천군
82,NAT130888,신탄리,경기도,연천군
83,NAT140098,퇴계원,경기도,남양주
84,NAT140133,사릉,경기도,남양주
85,NAT140214,평내호평,경기도,남양주
86,NAT140277,마석,경기도,남양주
87,NAT140362,대성리,경기도,가평
88,NAT140436,청평,경기도,가평
89,NAT140576,가평,경기도,가평
90,NATH10219,광명,경기도,광명시
91,NATH30326,동탄,경기도,화성
92,NATH30536,지제,경기도,평택
93,NATN10230,횡성,강원도,횡성
94,NATN10428,둔내,강원도,횡성
95,NATN10625,평창,강원도,평창
96,NATN10787,진부,강원도,평창
97,NAT020986,동화,강원도,원주시
98,NAT021033,만종,강원도,원주
99,NAT021175,반곡,강원도,원주
100,NAT021357,신림,강원도,원주시
101,NAT130944,백마고지,강원도,철원
102,NAT140681,백양리,강원도,춘천
103,NAT140701,강촌,강원도,춘천
104,NAT140787,김유정,강원도,춘천
105,NAT140840,남춘천,강원도,춘천
106,NAT140873,춘천,강원도,춘천
107,NAT600830,동점,강원도,태백
108,NAT600870,철암,강원도,태백시
109,NAT601122,도계,강원도,삼척시
110,NAT601275,신기,강원도,삼척시
111,NAT601485,동해,강원도,동해시
112,NAT601545,묵호,강원도,동해시
113,NAT601605,망상,강원도,동해
114,NAT601774,정동진,강원도,강릉시
115,NAT601936,강릉,강원도,강릉
116,NAT610064,별어곡,강원도,정선군
117,NAT610137,선평,강원도,정선군
118,NAT610226,정선,강원도,정선군
119,NAT610326,나전,강원도,정선군
120,NAT610387,아우라지,강원도,정선군
121,NAT020864,서원주,강원도,원주
122,NAT020947,원주,강원도,원주시
123,NAT630064,추암,강원도,동해
124,NAT650341,영월,강원도,영월군
125,NAT650515,예미,강원도,정선군
126,NAT650722,민둥산,강원도,정선군
127,NAT650782,사북,강원도,정선군
128,NAT650828,고한,강원도,정선군
129,NAT650918,추전,강원도,태백
130,NAT650978,태백,강원도,태백시
131,NAT011833,옥천,충청북도,옥천군
132,NAT011916,이원,충청북도,옥천군
133,NAT011972,지탄,충청북도,옥천군
134,NAT012016,심천,충청북도,영동군
