sido_sgg,theme,name,address,link
서울 서울,산,인왕산,서울 종로구 무악동,https://map.naver.com/v5/search/서울 산/place/11491503?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,산,용마산,서울 중랑구 면목동,https://map.naver.com/v5/search/서울 산/place/13490940?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,산,도봉산,서울 도봉구 도봉동,https://map.naver.com/v5/search/서울 산/place/13491821?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,산,응봉산,서울 성동구 금호동4가,https://map.naver.com/v5/search/서울 산/place/11491502?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,산,우면산,서울 서초구 서초동,https://map.naver.com/v5/search/서울 산/place/11491484?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,산,서대문 안산,서울 서대문구 봉원동,https://map.naver.com/v5/search/서울 산/place/13491439?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,계곡,진관사계곡,서울특별시 은평구 진관동,https://map.naver.com/v5/search/서울 계곡/place/18693189?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,계곡,백사실계곡,서울특별시 종로구 부암동 115,https://map.naver.com/v5/search/서울 계곡/place/13400646?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,계곡,삼천사계곡,서울특별시 은평구 진관동,https://map.naver.com/v5/search/서울 계곡/place/13496669?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,계곡,벽운계곡,서울특별시 노원구 상계동,https://map.naver.com/v5/search/서울 계곡/place/18645990?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,계곡,긴고랑계곡,서울특별시 광진구 중곡4동 143-130,https://map.naver.com/v5/search/서울 계곡/place/38331672?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,강,청계천,서울특별시 종로구 창신동,https://map.naver.com/v5/search/서울 강/place/13491093?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,강,양재천,서울특별시 강남구 대치동,https://map.naver.com/v5/search/서울 강/place/12375874?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,강,한강,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터,https://map.naver.com/v5/search/서울 강/place/13491889?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,강,중랑천,서울특별시 중랑구 중화동,https://map.naver.com/v5/search/서울 강/place/34581338?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,강,불광천,서울특별시 서대문구 북가좌동,https://map.naver.com/v5/search/서울 강/place/13544494?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
서울 서울,강,홍제천,서울특별시 마포구 성산동,https://map.naver.com/v5/search/서울 강/place/13544486?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,산,백양산,부산 북구 만덕동,https://map.naver.com/v5/search/부산 산/place/13491615?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,산,봉래산,부산 영도구 청학동,https://map.naver.com/v5/search/부산 산/place/16742104?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,산,승학산,부산 사하구 하단동,https://map.naver.com/v5/search/부산 산/place/13490923?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,산,황령산,부산 연제구 연산5동,https://map.naver.com/v5/search/부산 산/place/13491303?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,산,장산,부산 해운대구 반여동,https://map.naver.com/v5/search/부산 산/place/16993282?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,산,윤산,부산 금정구 서동,https://map.naver.com/v5/search/부산 산/place/13491147?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,해변,다대포해수욕장,부산광역시 사하구 다대동,https://map.naver.com/v5/search/부산 해변/place/13491855?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,해변,임랑해수욕장,부산광역시 기장군 장안읍 임랑리,https://map.naver.com/v5/search/부산 해변/place/13491880?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,계곡,대천천계곡,부산광역시 북구 화명동,https://map.naver.com/v5/search/부산 계곡/place/13490869?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
부산 부산,강,수영강,부산광역시 해운대구 반여동,https://map.naver.com/v5/search/부산 강/place/16991621?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,산,비슬산,대구 달성군 유가읍,https://map.naver.com/v5/search/대구 산/place/11491422?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,산,최정산,대구 달성군 가창면,https://map.naver.com/v5/search/대구 산/place/13491629?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,산,앞산,대구 남구 대명동,https://map.naver.com/v5/search/대구 산/place/16329264?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,산,주암산,대구 달성군 가창면,https://map.naver.com/v5/search/대구 산/place/13491719?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,산,함지산,대구 북구 조야동,https://map.naver.com/v5/search/대구 산/place/16348176?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,산,성암산,대구 수성구 욱수동,https://map.naver.com/v5/search/대구 산/place/21435699?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,계곡,안지랭이,대구 남구 대명동,https://map.naver.com/v5/search/대구 계곡/place/37780900?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,계곡,머구실,대구 달성군 하빈면,https://map.naver.com/v5/search/대구 계곡/place/37788948?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,계곡,사라전,대구 북구 팔달동,https://map.naver.com/v5/search/대구 계곡/place/37780901?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,강,유곡천,대구광역시 달성군 유가읍 유곡리 1139-5,https://map.naver.com/v5/search/대구 강/place/16222551?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
대구 대구,강,신천,대구광역시 남구 이천동,https://map.naver.com/v5/search/대구 강/place/16320481?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,산,계양산,인천 계양구 계산동,https://map.naver.com/v5/search/인천 산/place/13490870?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,산,가현산,인천 서구 금곡동,https://map.naver.com/v5/search/인천 산/place/16994149?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,산,마니산,인천 강화군 화도면,https://map.naver.com/v5/search/인천 산/place/13491129?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,산,소래산,인천 남동구 장수동,https://map.naver.com/v5/search/인천 산/place/13491246?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,산,해명산,인천 강화군 삼산면,https://map.naver.com/v5/search/인천 산/place/16647239?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,산,고려산,인천 강화군 내가면,https://map.naver.com/v5/search/인천 산/place/13491502?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,해변,을왕리해수욕장,인천광역시 중구 용유서로302번길 16-15,https://map.naver.com/v5/search/인천 해변/place/13444291?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,해변,동막해변,인천광역시 강화군 화도면 해안남로 1481,https://map.naver.com/v5/search/인천 해변/place/13491056?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,해변,왕산해수욕장,인천광역시 중구 을왕동,https://map.naver.com/v5/search/인천 해변/place/13491823?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
인천 인천,해변,민머루해수욕장,인천광역시 강화군 삼산면 매음리,https://map.naver.com/v5/search/인천 해변/place/11491705?placePath=%3Fentry%3Dpll%26from%3Dnx%26fromNxList%3Dtrue&placeSearchOption=entry%3Dpll%26fromNxList%3Dtrue
