id,name,sido,sgg,sido_sgg
NAI0208601,망우역,서울,서울,서울 서울
NAI0215101,상봉,서울,서울,서울 서울
NAI1100001,연천,경기도,연천,경기도 연천
NAI1101401,연천역,경기도,연천,경기도 연천
NAI1101501,연천군청,경기도,연천,경기도 연천
NAI1102801,전곡,경기도,연천,경기도 연천
NAI1110103,관인,경기도,포천,경기도 포천
NAI1110201,송정검문소,경기도,포천,경기도 포천
NAI1110203,팔오동,경기도,포천,경기도 포천
NAI1110204,자일리,경기도,포천,경기도 포천
NAI1110601,운천,경기도,포천,경기도 포천
NAI1110901,야미리,경기도,포천,경기도 포천
NAI1112301,화현,경기도,포천,경기도 포천
NAI1112702,성동2리,경기도,포천,경기도 포천
NAI1112801,성동,경기도,포천,경기도 포천
NAI1112901,양문,경기도,포천,경기도 포천
NAI1113901,만세교,경기도,포천,경기도 포천
NAI1114501,포천,경기도,포천,경기도 포천
NAI1115801,군단앞(포천),경기도,포천,경기도 포천
NAI1116401,가산,경기도,포천,경기도 포천
NAI1116901,송우리,경기도,포천,경기도 포천
NAI1118401,축석고개,경기도,포천,경기도 포천
NAI1118802,소학리,경기도,포천,경기도 포천
NAI1149601,성모병원,경기도,부천,경기도 부천
NAI1150101,양주,경기도,양주,경기도 양주
NAI1174901,의정부,경기도,의정부,경기도 의정부
NAI1176001,경기도북부청사,경기도,의정부,경기도 의정부
NAI1194401,구리,경기도,구리,경기도 구리
NAI1196001,구리요금소,경기도,구리,경기도 구리
NAI1201901,광릉내(진접),경기도,남양주,경기도 남양주
NAI1202001,광릉내,경기도,남양주,경기도 남양주
NAI1210801,신일유토빌,경기도,의정부,경기도 의정부
NAI1214301,현대아이파크,경기도,의정부,경기도 의정부
NAI1217901,마석,경기도,남양주,경기도 남양주
NAI1221701,평내,경기도,남양주,경기도 남양주
NAI1223201,남양주,경기도,남양주,경기도 남양주
NAI1223501,금곡(남양주),경기도,남양주,경기도 남양주
NAI1241901,레일바이크,경기도,수원,경기도 수원
NAI1242001,가평,경기도,가평,경기도 가평
NAI1243701,현리공용,경기도,가평,경기도 가평
NAI1244901,청평,경기도,가평,경기도 가평
NAI1245701,대성리,경기도,가평,경기도 가평
NAI1246501,설악,경기도,가평,경기도 가평
NAI1250801,아신,경기도,안산,경기도 안산
NAI1252101,용문,경기도,양평,경기도 양평
NAI1048502,행신동,경기도,고양,경기도 고양
NAI1049701,덕양구청,경기도,고양,경기도 고양
NAI1050001,고양(화정),경기도,고양,경기도 고양
NAI1050901,능곡초교,경기도,고양,경기도 고양
NAI1051801,행신초교,경기도,고양,경기도 고양
NAI1089401,지산중학교,경기도,파주,경기도 파주
NAI2511901,장전,강원도,정선,강원도 정선
NAI2513501,홍천,강원도,홍천,강원도 홍천
NAI2516201,와야리,강원도,홍천,강원도 홍천
NAI2516301,화상대,강원도,홍천,강원도 홍천
NAI2516401,철정,강원도,홍천,강원도 홍천
NAI2520002,풍수원,강원도,횡성,강원도 횡성
NAI2520003,유현리,강원도,횡성,강원도 횡성
NAI2520601,공근,강원도,횡성,강원도 횡성
NAI2523401,횡성,강원도,횡성,강원도 횡성
NAI2526501,둔내,강원도,횡성,강원도 횡성
NAI2527101,안흥,강원도,횡성,강원도 횡성
NAI2531501,장평,강원도,평창,강원도 평창
NAI2533201,진부,강원도,정선,강원도 정선
NAI2534501,횡계,강원도,평창,강원도 평창
NAI2535801,대화,강원도,평창,강원도 평창
NAI2536401,방림,강원도,평창,강원도 평창
NAI2536502,면소,강원도,평창,강원도 평창
NAI2537601,평창,강원도,평창,강원도 평창
NAI2537615,간촌,강원도,춘천,강원도 춘천
NAI2551901,강릉시외터미널,강원도,강릉,강원도 강릉
NAI2563101,정동진,강원도,강릉,강원도 강릉
NAI2564101,왕산,강원도,정선,강원도 정선
NAI2570801,대진,강원도,고성,강원도 고성
NAI2573501,동해,강원도,동해,강원도 동해
NAI2590202,어리,강원도,춘천,강원도 춘천
NAI2590303,삼거리,강원도,속초,강원도 속초
NAI2590402,하장,강원도,정선,강원도 정선
NAI2592901,삼척,강원도,삼척,강원도 삼척
NAI2594701,도계,강원도,삼척,강원도 삼척
NAI2595601,임원,강원도,삼척,강원도 삼척
NAI2595901,축천,강원도,춘천,강원도 춘천
NAI2596101,호산,강원도,삼척,강원도 삼척
NAI2600701,태백,강원도,태백,강원도 태백
NAI2434102,춘천남부시장,강원도,춘천,강원도 춘천
NAI2441605,유촌리,강원도,화천,강원도 화천
NAI2443501,춘천,강원도,춘천,강원도 춘천
NAI2446301,강촌,강원도,춘천,강원도 춘천
NAI2446303,당림리,강원도,춘천,강원도 춘천
NAI2446507,강촌역,강원도,춘천,강원도 춘천
NAI2452401,양구,강원도,양구,강원도 양구
NAI2454901,송청리,강원도,평창,강원도 평창
NAI2456301,해안,강원도,양구,강원도 양구
NAI2460001,서화(강원),강원도,인제,강원도 인제
NAI2460601,남교,강원도,인제,강원도 인제
NAI2461201,원통,강원도,인제,강원도 인제
NAI2462201,설악산입구,강원도,속초,강원도 속초
NAI2463501,인제,강원도,인제,강원도 인제
NAI2464801,신남,강원도,인제,강원도 인제
NAI2465901,현리(강원),강원도,인제,강원도 인제
NAI2465902,덕다리,강원도,인제,강원도 인제
NAI2466401,상남,강원도,인제,강원도 인제
NAI2466402,고석평,강원도,인제,강원도 인제
NAI2466601,미다리,강원도,인제,강원도 인제
NAI2470101,현내,강원도,고성,강원도 고성
NAI2472501,거진,강원도,고성,강원도 고성
NAI2473401,간성,강원도,고성,강원도 고성
NAI2474101,장신,강원도,고성,강원도 고성
NAI2474201,진부령,강원도,고성,강원도 고성
NAI2482701,속초,강원도,속초,강원도 속초
NAI2500001,물치,강원도,속초,강원도 속초
NAI2500701,낙산,강원도,양양,강원도 양양
NAI2500901,낙산버스터미널,강원도,양양,강원도 양양
NAI2503101,양양,강원도,양양,강원도 양양
NAI2503303,한계령,강원도,양양,강원도 양양
NAI2503304,오색,강원도,양양,강원도 양양
NAI2504401,손양,강원도,양양,강원도 양양
NAI2504701,하조대,강원도,양양,강원도 양양
NAI2510801,양덕원,강원도,홍천,강원도 홍천
NAI3725701,청리,경상북도,안동,경상북도 안동
NAI3726701,옥산,경상북도,경산,경상북도 경산
NAI3730301,다인,경상북도,의성,경상북도 의성
NAI3731201,안계,경상북도,의성,경상북도 의성
NAI3733501,의성,경상북도,의성,경상북도 의성
NAI3735601,탑리,경상북도,의성,경상북도 의성
NAI3736201,봉양,경상북도,의성,경상북도 의성
NAI3736202,도리원,경상북도,의성,경상북도 의성
NAI3740901,진보,경상북도,청송,경상북도 청송
NAI3741602,파천,경상북도,청송,경상북도 청송
NAI3743101,청송,경상북도,청송,경상북도 청송
NAI3743701,주왕산,경상북도,청송,경상북도 청송
NAI3744302,옥동,경상북도,안동,경상북도 안동
NAI3744601,부남,경상북도,청송,경상북도 청송
NAI3745101,안덕,경상북도,청송,경상북도 청송
NAI3745601,도평(현동),경상북도,청송,경상북도 청송
NAI3745602,도평,경상북도,청송,경상북도 청송
NAI3746201,화목(현서),경상북도,청송,경상북도 청송
NAI3750306,두마,경상북도,구미,경상북도 구미
NAI3750701,죽장,경상북도,포항,경상북도 포항
NAI3750802,지동,경기도,수원,경기도 수원
NAI3751001,흥해,경상북도,포항,경상북도 포항
NAI3754401,흥해,경상북도,포항,경상북도 포항
NAI3765501,효자동,경상북도,포항,경상북도 포항
NAI3770101,나루끝,경상북도,포항,경상북도 포항
NAI3776001,포항,경상북도,포항,경상북도 포항
NAI3812101,입천,경상북도,안동,경상북도 안동
NAI3812501,감포,경상북도,경주,경상북도 경주
