id,name,sido,sgg,sido_sgg
NAI1110601,운천,경기도,포천,경기도 포천
NAI1174901,의정부,경기도,의정부,경기도 의정부
NAI1252101,용문,경기도,양평,경기도 양평
NAI2513501,홍천,강원도,홍천,강원도 홍천
NAI2533201,진부,강원도,정선,강원도 정선
NAI2534501,횡계,강원도,평창,강원도 평창
NAI2535801,대화,강원도,평창,강원도 평창
NAI2537601,평창,강원도,평창,강원도 평창
NAI2570801,대진,강원도,고성,강원도 고성
NAI2592901,삼척,강원도,삼척,강원도 삼척
NAI2596101,호산,강원도,삼척,강원도 삼척
NAI2446301,강촌,강원도,춘천,강원도 춘천
NAI2452401,양구,강원도,양구,강원도 양구
NAI2461201,원통,강원도,인제,강원도 인제
NAI2463501,인제,강원도,인제,강원도 인제
NAI2464801,신남,강원도,인제,강원도 인제
NAI2472501,거진,강원도,고성,강원도 고성
NAI2473401,간성,강원도,고성,강원도 고성
NAI2482701,속초,강원도,속초,강원도 속초
NAI2500001,물치,강원도,속초,강원도 속초
NAI2500701,낙산,강원도,양양,강원도 양양
NAI2503101,양양,강원도,양양,강원도 양양
NAI2503304,오색,강원도,양양,강원도 양양
NAI2510801,양덕원,강원도,홍천,강원도 홍천
NAI3740901,진보,경상북도,청송,경상북도 청송
NAI3743101,청송,경상북도,청송,경상북도 청송
NAI3888501,영천,경상북도,영천,경상북도 영천
NAI5093801,김해,경상남도,김해,경상남도 김해
NAI3923301,구미,경상북도,구미,경상북도 구미
NAI3926701,구미공단,경상북도,구미,경상북도 구미
NAI4002701,성주,경상북도,성주,경상북도 성주
NAI4013501,고령,경상북도,고령,경상북도 고령
NAI5100701,장유,경상남도,김해,경상남도 김해
NAI5130101,마산역,경상남도,창원,경상남도 창원
NAI5135601,마산,경상남도,창원,경상남도 창원
NAI5139301,창원,경상남도,창원,경상남도 창원
NAI5153601,창원남산,경상남도,창원,경상남도 창원
NAI5201701,함안가야,경상남도,함안,경상남도 함안
NAI5204101,칠원읍,경상남도,함안,경상남도 함안
NAI5213502,대의,경상남도,의령,경상남도 의령
NAI5213801,의령,경상남도,의령,경상남도 의령
NAI3181201,합덕,충청남도,당진,충청남도 당진
NAI3194501,운산,충청남도,서산,충청남도 서산
NAI3196201,한서대,충청남도,서산,충청남도 서산
NAI3198101,서산,충청남도,서산,충청남도 서산
NAI3212301,만리포,충청남도,태안,충청남도 태안
NAI3214401,태안,충청남도,태안,충청남도 태안
NAI3216201,창기리,충청남도,태안,충청남도 태안
NAI3216401,안면도,충청남도,태안,충청남도 태안
NAI4248201,대구서부,대구,대구,대구 대구
NAI5778701,동광양,전라남도,광양,전라남도 광양
NAI5955501,녹동,전라남도,고흥,전라남도 고흥
NAI5794001,순천북부,전라남도,순천,전라남도 순천
NAI5796001,순천,전라남도,순천,전라남도 순천
NAI5796201,순천역,전라남도,순천,전라남도 순천
NAI5812001,화순,전라남도,화순,전라남도 화순
NAI5815301,능주,전라남도,화순,전라남도 화순
NAI5971501,여수,전라남도,여수,전라남도 여수
NAI6111601,운암동,광주,광주,광주 광주
