,id,name,sido,sgg
0,NAI0208601,망우역,서울특별시,서울
1,NAI0215101,상봉,서울특별시,서울
2,NAI0511601,동서울,서울특별시,서울
3,NAI0550201,잠실역,서울특별시,서울
4,NAI0554201,방이동,서울특별시,서울
5,NAI0654501,서울고속버스터미널(경부),서울특별시,서울
6,NAI0654601,센트럴,서울특별시,서울
7,NAI0654604,강남터미널,서울특별시,서울
8,NAI0671801,서울남부,서울특별시,서울
9,NAI1009601,김포,경기도,김포
10,NAI1048502,행신동,경기도,고양
11,NAI1049701,덕양구청,경기도,고양
12,NAI1050001,고양(화정),경기도,고양
13,NAI1050901,능곡초교,경기도,고양
14,NAI1051801,행신초교,경기도,고양
15,NAI1100001,연천,경기도,연천
16,NAI1110103,관인,경기도,포천
17,NAI1110201,송정검문소,경기도,포천
18,NAI1110601,운천,경기도,포천
19,NAI1112301,화현,경기도,포천
20,NAI1114501,포천,경기도,포천
21,NAI1116401,가산,경기도,포천
22,NAI1116901,송우리,경기도,포천
23,NAI1149601,성모병원,경기도,부천
24,NAI1150101,양주,경기도,양주
25,NAI1174901,의정부,경기도,의정부
26,NAI1176001,경기도북부청사,경기도,의정부
27,NAI1194401,구리,경기도,서울
28,NAI1214301,현대아이파크,경기도,의정부
29,NAI1223201,남양주,경기도,서울
30,NAI1242001,가평,경기도,가평
31,NAI1244901,청평,경기도,가평
32,NAI1246501,설악,경기도,가평
33,NAI1250801,아신,경기도,안산
34,NAI1252101,용문,경기도,양평
35,NAI1254601,양평시장,경기도,양평
36,NAI1255901,양평,경기도,양평
37,NAI1261901,부대앞,경기도,평택
38,NAI1263101,여주,경기도,여주
39,NAI1328001,성남서,경기도,성남
40,NAI1336401,모란시장,경기도,성남
41,NAI1349701,성남,경기도,성남
42,NAI1363001,분당,경기도,성남
43,NAI1394401,안양(평촌),경기도,안양
44,NAI1403901,비산동,경기도,안양
45,NAI1407301,범계,경기도,안양
46,NAI1407701,호계동,경기도,안양
47,NAI1434701,광명,경기도,광명
48,NAI1454501,부천,경기도,부천
49,NAI1461201,부천소방서,경기도,부천
50,NAI1464901,소사동,경기도,부천
51,NAI1474301,송내,경기도,부천
52,NAI1504002,시화병원,경기도,시흥
53,NAI1506201,시흥관광호텔,경기도,시흥
54,NAI1506601,시흥,경기도,시흥
55,NAI1507301,시화,경기도,시흥
56,NAI1508601,시화이마트,경기도,시흥
57,NAI1524001,안산시청,경기도,안산
58,NAI1529901,안산터미널,경기도,안산
59,NAI1533501,안산시청앞,경기도,안산
60,NAI1586201,군포산본,경기도,군포
61,NAI1588001,군포,경기도,군포
62,NAI1607801,의왕,경기도,의왕
63,NAI1624001,우만동,경기도,수원
64,NAI1625001,장안문,경기도,수원
65,NAI1640501,서수원,경기도,수원
66,NAI1640901,구운동,경기도,수원
67,NAI1650901,광교도청역,경기도,수원
68,NAI1651001,이의동,경기도,수원
69,NAI1654501,영통,경기도,수원
70,NAI1658501,수원터미널,경기도,수원
71,NAI1662201,수원역,경기도,수원
72,NAI1665001,고색동,경기도,수원
73,NAI1669001,망포역,경기도,수원
74,NAI1706301,용인,경기도,용인
75,NAI1709401,신갈(용인),경기도,용인
76,NAI1715901,죽산,경기도,안성
