,depCity,arrCity,routes
0,"('경상남도', '창원')","('전라남도', '화순')",1.0
1,"('전라남도', '화순')","('경상남도', '창원')",1.0
2,"('경상남도', '창원')","('대전', '대전')",1.0
3,"('대전', '대전')","('경상남도', '창원')",1.0
4,"('경상남도', '창원')","('경상남도', '함안')",1.0
5,"('경상남도', '함안')","('경상남도', '창원')",1.0
6,"('경상남도', '창원')","('경기도', '양평')",0.0
7,"('경기도', '양평')","('경상남도', '창원')",0.0
8,"('경상남도', '창원')","('경상북도', '청도')",1.0
9,"('경상북도', '청도')","('경상남도', '창원')",1.0
10,"('경상남도', '창원')","('전라북도', '전주')",0.0
11,"('전라북도', '전주')","('경상남도', '창원')",0.0
12,"('경상남도', '창원')","('세종', '세종')",1.0
13,"('세종', '세종')","('경상남도', '창원')",1.0
14,"('경상남도', '창원')","('경기도', '가평')",0.0
15,"('경기도', '가평')","('경상남도', '창원')",0.0
16,"('경상남도', '창원')","('전라남도', '광양')",1.0
17,"('전라남도', '광양')","('경상남도', '창원')",1.0
18,"('경상남도', '창원')","('전라남도', '여수')",0.0
19,"('전라남도', '여수')","('경상남도', '창원')",0.0
20,"('경상남도', '창원')","('경상북도', '예천')",0.0
21,"('경상북도', '예천')","('경상남도', '창원')",0.0
22,"('경상남도', '창원')","('광주', '광주')",1.0
23,"('광주', '광주')","('경상남도', '창원')",1.0
24,"('경상남도', '창원')","('충청남도', '천안')",1.0
25,"('충청남도', '천안')","('경상남도', '창원')",1.0
26,"('경상남도', '창원')","('경상북도', '군위')",0.0
27,"('경상북도', '군위')","('경상남도', '창원')",0.0
28,"('경상남도', '창원')","('경상북도', '의성')",0.0
29,"('경상북도', '의성')","('경상남도', '창원')",0.0
30,"('경상남도', '창원')","('경상남도', '김해')",1.0
31,"('경상남도', '김해')","('경상남도', '창원')",1.0
32,"('경상남도', '창원')","('경기도', '평택')",1.0
33,"('경기도', '평택')","('경상남도', '창원')",1.0
34,"('경상남도', '창원')","('경기도', '파주')",0.0
35,"('경기도', '파주')","('경상남도', '창원')",0.0
36,"('경상남도', '창원')","('경상북도', '경산')",1.0
37,"('경상북도', '경산')","('경상남도', '창원')",1.0
38,"('경상남도', '창원')","('충청남도', '계룡')",0.0
39,"('충청남도', '계룡')","('경상남도', '창원')",0.0
40,"('경상남도', '창원')","('전라남도', '목포')",1.0
41,"('전라남도', '목포')","('경상남도', '창원')",1.0
42,"('경상남도', '창원')","('전라남도', '나주')",1.0
43,"('전라남도', '나주')","('경상남도', '창원')",1.0
44,"('경상남도', '창원')","('대구', '대구')",1.0
45,"('대구', '대구')","('경상남도', '창원')",1.0
46,"('경상남도', '창원')","('충청남도', '보령')",0.0
47,"('충청남도', '보령')","('경상남도', '창원')",0.0
48,"('경상남도', '창원')","('강원도', '삼척')",0.0
49,"('강원도', '삼척')","('경상남도', '창원')",0.0
50,"('경상남도', '창원')","('경상남도', '밀양')",1.0
51,"('경상남도', '밀양')","('경상남도', '창원')",1.0
52,"('경상남도', '창원')","('경기도', '안양')",0.0
53,"('경기도', '안양')","('경상남도', '창원')",0.0
54,"('경상남도', '창원')","('충청남도', '공주')",0.0
55,"('충청남도', '공주')","('경상남도', '창원')",0.0
56,"('경상남도', '창원')","('충청북도', '단양')",0.0
57,"('충청북도', '단양')","('경상남도', '창원')",0.0
58,"('경상남도', '창원')","('경기도', '고양')",1.0
59,"('경기도', '고양')","('경상남도', '창원')",1.0
60,"('경상남도', '창원')","('전라북도', '남원')",0.0
